iter	RMSE
0	71794.49905
1	69623.88675
2	67449.53568
3	65342.84292
4	63610.0025
5	61637.21732
6	59877.07981
7	58169.79567
8	56635.10887
9	55054.50841
10	53640.99106
11	52343.64153
12	51016.31855
13	49629.2662
14	48348.55714
15	47179.22172
16	46083.51038
17	44996.65103
18	44049.51952
19	42938.80607
20	42014.16199
21	41130.12858
22	40176.09854
23	39344.69539
24	38487.06058
25	37717.35321
26	36946.03601
27	36191.55708
28	35485.46306
29	34811.63223
30	34193.58518
31	33582.51899
32	32948.83466
33	32436.37306
34	31905.53757
35	31375.45593
36	30891.55901
37	30424.19606
38	29916.51075
39	29508.05649
40	29128.7103
41	28753.80551
42	28419.34211
43	28028.59224
44	27715.03252
45	27347.34007
46	27033.97655
47	26691.64143
48	26399.28152
49	26096.16267
50	25810.12916
51	25549.64561
52	25318.69758
53	25064.59634
54	24833.26611
55	24610.63937
56	24423.48044
57	24203.37123
58	23980.11248
59	23789.80456
60	23583.72543
61	23409.46153
62	23219.51246
63	23002.23704
64	22845.81472
65	22679.00939
66	22526.30527
67	22374.65004
68	22235.35371
69	22122.98438
70	21963.46705
71	21820.06615
72	21683.94747
73	21575.05816
74	21451.33392
75	21278.58695
76	21173.34337
77	21048.52375
78	20949.66195
79	20863.17648
80	20790.2489
81	20690.79239
82	20588.98129
83	20481.94146
84	20385.67894
85	20289.02326
86	20181.53626
87	20079.48755
88	19964.62025
89	19889.79985
90	19798.3081
91	19715.94251
92	19612.03345
93	19516.61251
94	19431.37421
95	19357.21525
96	19291.40956
97	19226.77057
98	19160.4094
99	19112.57041
100	19032.49968
101	18988.49219
102	18909.94706
103	18810.6621
104	18779.98154
105	18723.10571
106	18662.80439
107	18589.93369
108	18527.25376
109	18464.23435
110	18397.04155
111	18333.45761
112	18282.10267
113	18230.83925
114	18182.24534
115	18133.04103
116	18058.33723
117	17982.35861
118	17935.3969
119	17879.61333
120	17853.04098
121	17825.35054
122	17749.42936
123	17710.05037
124	17665.4151
125	17603.32986
126	17573.81167
127	17497.01025
128	17462.80957
129	17425.20201
130	17386.46329
131	17361.26037
132	17321.01511
133	17307.01536
134	17264.74701
135	17244.02825
136	17209.57592
137	17164.54406
138	17129.60665
139	17088.38582
140	17037.63184
141	16992.21875
142	16946.45951
143	16908.2688
144	16865.14236
145	16819.3012
146	16783.10206
147	16741.3616
148	16694.26194
149	16658.52919
150	16640.45187
151	16594.34037
152	16571.44446
153	16536.84394
154	16494.40556
155	16455.16885
156	16425.27986
157	16393.94605
158	16346.60946
159	16305.30489
160	16273.99213
161	16235.28478
162	16198.84025
163	16172.82818
164	16134.25918
165	16078.91204
166	16060.68453
167	16019.78993
168	15991.19844
169	15980.20359
170	15948.26133
171	15907.22664
172	15869.50571
173	15843.84688
174	15806.12534
175	15778.26522
176	15749.19343
177	15725.87837
178	15691.16115
179	15665.88867
180	15634.42442
181	15604.81989
182	15557.87396
183	15520.88918
184	15509.37505
185	15495.41655
186	15462.43239
187	15448.32226
188	15438.66844
189	15423.9012
190	15411.46105
191	15391.38737
192	15373.45018
193	15359.74293
194	15335.97117
195	15294.1311
196	15283.31679
197	15256.51376
198	15234.8829
199	15209.45687
200	15190.51254
201	15173.07846
202	15138.23269
203	15119.63404
204	15099.4296
205	15058.29755
206	15050.58962
207	15037.84516
208	15004.82261
209	14971.31684
210	14938.71702
211	14906.86121
212	14880.55133
213	14869.79732
214	14837.9625
215	14829.43303
216	14823.62634
217	14791.63344
218	14775.68412
219	14746.61183
220	14724.21518
221	14718.81927
222	14694.61147
223	14660.36894
224	14627.94426
225	14598.1556
226	14593.21291
227	14560.53647
228	14526.67069
229	14521.02384
230	14515.81064
231	14511.17531
232	14481.52441
233	14469.0902
234	14437.9138
235	14408.90812
236	14379.85063
237	14373.02118
238	14361.18348
239	14333.2509
240	14299.99298
241	14265.0438
242	14236.28668
243	14230.46231
244	14223.3314
245	14218.93529
246	14198.95778
247	14171.86019
248	14143.70798
249	14116.2376
250	14091.90144
251	14088.36896
252	14059.42341
253	14029.35841
254	13995.87355
255	13965.79635
256	13940.93671
257	13932.91655
258	13898.5275
259	13868.25054
260	13839.60639
261	13811.57489
262	13782.73685
263	13774.07789
264	13769.79033
265	13739.7797
266	13730.96777
267	13702.16855
268	13679.81685
269	13652.71383
270	13648.71224
271	13641.53179
272	13615.09357
273	13611.41962
274	13587.01555
275	13574.76449
276	13551.66614
277	13534.95549
278	13530.40367
279	13526.36387
280	13515.7357
281	13496.88418
282	13468.2306
283	13447.78698
284	13416.96072
285	13393.63288
286	13366.90061
287	13345.2709
288	13321.89035
289	13297.60651
290	13294.7443
291	13287.97384
292	13254.78423
293	13233.41495
294	13230.66033
295	13205.60117
296	13182.04701
297	13158.45682
298	13136.52357
299	13115.91235
300	13088.64193
301	13067.67099
302	13047.92498
303	13045.02522
304	13018.96294
305	12994.21099
306	12973.06488
307	12952.45822
308	12929.12526
309	12926.49662
310	12910.16582
311	12898.64934
312	12871.38762
313	12855.03026
314	12832.42823
315	12816.12313
316	12791.58102
317	12788.91546
318	12768.98569
319	12760.66439
320	12735.94276
321	12733.32458
322	12710.27502
323	12688.16825
324	12674.84448
325	12656.81972
326	12642.35427
327	12619.9016
328	12617.6076
329	12593.53938
330	12582.82085
331	12580.72634
332	12556.71843
333	12532.5531
334	12517.8114
335	12492.18278
336	12489.12184
337	12475.09953
338	12458.19691
339	12454.9973
340	12436.52234
341	12434.33123
342	12416.80968
343	12401.96162
344	12380.32912
345	12367.46654
346	12341.70005
347	12312.62521
348	12310.80621
349	12297.83526
350	12274.27339
351	12250.34357
352	12233.7035
353	12231.2037
354	12216.18545
355	12190.1198
356	12188.11127
357	12167.96347
358	12145.47456
359	12118.84144
360	12102.43004
361	12093.36465
362	12091.27067
363	12076.77555
364	12074.88134
365	12073.06157
366	12058.84093
367	12056.90845
368	12040.17278
369	12027.36682
370	12014.72177
371	12013.07842
372	11990.50282
373	11978.30568
374	11967.876
375	11943.1393
376	11918.96618
377	11907.9436
378	11905.97813
379	11887.27459
380	11863.58864
381	11845.62805
382	11832.03891
383	11812.5068
384	11797.87274
385	11785.52966
386	11768.41571
387	11756.43908
388	11735.62625
389	11721.45474
390	11719.80401
391	11707.64364
392	11705.99135
393	11692.90325
394	11671.24741
395	11667.61699
396	11649.56324
397	11635.14114
398	11614.25571
399	11602.3478
400	11589.16399
401	11583.36405
402	11569.23255
403	11558.26168
404	11542.56411
405	11532.13633
406	11511.67464
407	11498.00959
408	11487.445
409	11477.81721
410	11476.27448
411	11461.86246
412	11460.37167
413	11453.10817
414	11432.78897
415	11415.14142
416	11412.01389
417	11392.3477
418	11375.48712
419	11354.28625
420	11340.44366
421	11327.04902
422	11310.71668
423	11292.87657
424	11277.37145
425	11276.08461
426	11274.82827
427	11258.66334
428	11241.4576
429	11221.10114
430	11202.49542
431	11181.00245
432	11168.8935
433	11153.25045
434	11151.92284
435	11136.69161
436	11135.52849
437	11122.01346
438	11101.37323
439	11086.69052
440	11068.1041
441	11056.2261
442	11043.00844
443	11025.80703
444	11012.64232
445	10995.00304
446	10975.72069
447	10958.49765
448	10952.17002
449	10940.28648
450	10938.3878
451	10925.40704
452	10910.40433
453	10909.32654
454	10896.3438
455	10895.1975
456	10883.29828
457	10867.32373
458	10852.87142
459	10837.8134
460	10827.7811
461	10812.26536
462	10800.17973
463	10787.99379
464	10778.04784
465	10760.54177
466	10739.95409
467	10729.20263
468	10719.22628
469	10711.80423
470	10688.13969
471	10670.17782
472	10656.69345
473	10654.66656
474	10639.39692
475	10625.06845
476	10610.45507
477	10594.90121
478	10581.20916
479	10573.82286
480	10558.36286
481	10549.40863
482	10542.50148
483	10529.23963
484	10508.86479
485	10506.0079
486	10499.4538
487	10485.11645
488	10484.16082
489	10473.34189
490	10469.5778
491	10468.47285
492	10467.36842
493	10450.03387
494	10437.58575
495	10419.77782
496	10407.44051
497	10396.11124
498	10388.5
499	10375.66988
500	10360.08602
501	10352.02252
502	10342.48046
503	10327.55318
504	10313.30894
505	10303.48431
506	10290.92264
507	10275.63351
508	10258.71967
509	10242.32619
510	10240.19404
511	10222.76077
512	10204.41191
513	10202.33565
514	10184.15994
515	10170.90974
516	10153.93591
517	10140.87307
518	10126.89139
519	10115.09328
520	10101.37802
521	10099.16983
522	10083.4097
523	10066.1166
524	10048.69121
525	10040.20742
526	10020.65004
527	10011.59608
528	10000.57898
529	9999.504191
530	9991.987538
531	9985.788012
532	9969.84765
533	9957.403952
534	9944.455228
535	9934.271662
536	9928.714206
537	9913.185402
538	9904.737465
539	9891.075229
540	9879.238353
541	9872.699962
542	9867.519858
543	9850.746822
544	9839.14849
545	9831.803801
546	9829.720377
547	9819.885043
548	9806.04051
549	9790.028351
550	9777.655285
551	9758.817642
552	9745.912074
553	9736.552954
554	9735.391411
555	9723.229191
556	9714.646307
557	9703.739052
558	9694.90352
559	9693.63548
560	9692.120731
561	9683.56573
562	9681.665082
563	9666.884157
564	9657.398189
565	9645.208412
566	9635.949567
567	9620.78881
568	9612.596611
569	9605.01355
570	9588.818223
571	9578.208861
572	9567.929345
573	9557.408203
574	9546.315043
575	9540.912988
576	9528.689982
577	9528.00212
578	9519.956667
579	9507.687108
580	9499.753673
581	9483.486534
582	9482.035167
583	9467.336053
584	9466.583297
585	9456.284067
586	9444.593347
587	9426.934516
588	9417.521269
589	9408.436973
590	9396.941144
591	9396.216469
592	9384.871014
593	9383.367534
594	9365.202043
595	9351.185019
596	9339.590755
597	9332.123228
598	9316.955193
599	9309.386129
600	9308.681114
601	9298.416973
602	9280.917346
603	9271.799139
604	9260.291378
605	9249.109307
606	9237.839915
607	9235.818009
608	9222.982775
609	9218.812198
610	9218.067428
611	9208.999412
612	9199.665731
613	9188.716166
614	9176.212832
615	9167.575152
616	9155.235928
617	9147.097445
618	9134.572391
619	9120.780432
620	9114.893824
621	9105.605025
622	9103.926169
623	9095.605618
624	9094.13169
625	9089.134724
626	9078.22079
627	9070.330084
628	9054.600815
629	9042.73182
630	9033.310087
631	9023.976231
632	9022.780316
633	9014.454477
634	9002.513437
635	8993.323597
636	8987.033548
637	8985.710479
638	8973.174581
639	8955.935502
640	8946.023047
641	8935.784352
642	8929.678105
643	8922.960675
644	8915.163921
645	8904.676556
646	8894.59124
647	8881.815627
648	8877.649388
649	8867.215881
650	8863.230974
651	8858.656532
652	8848.40131
653	8845.466415
654	8834.512952
655	8823.574527
656	8811.946532
657	8805.494141
658	8804.032648
659	8797.27978
660	8788.277698
661	8787.694206
662	8779.559926
663	8770.631151
664	8758.328778
665	8744.161473
666	8733.57222
667	8731.413028
668	8721.479314
669	8716.662741
670	8702.957669
671	8701.881648
672	8691.239847
673	8680.481942
674	8671.316777
675	8664.271124
676	8655.22984
677	8647.188524
678	8635.808066
679	8627.837015
680	8620.833557
681	8610.953795
682	8601.268401
683	8586.393947
684	8579.754964
685	8568.396113
686	8558.702708
687	8546.114919
688	8539.022016
689	8530.243721
690	8521.252676
691	8515.265024
692	8502.891644
693	8501.606859
694	8496.384072
695	8488.225096
696	8483.576725
697	8475.546009
698	8464.308904
699	8458.832744
700	8453.657764
701	8442.351787
702	8441.776642
703	8428.112235
704	8418.195179
705	8410.532716
706	8409.524797
707	8396.925414
708	8386.754584
709	8380.53865
710	8373.677655
711	8366.848118
712	8354.809157
713	8353.77696
714	8338.914565
715	8328.911834
716	8318.109726
717	8306.323234
718	8305.790294
719	8297.197365
720	8296.529701
721	8289.052357
722	8278.081459
723	8277.573149
724	8270.374423
725	8265.983436
726	8262.498249
727	8251.532224
728	8242.673296
729	8236.313772
730	8227.661835
731	8220.494514
732	8210.431649
733	8197.076349
734	8189.527082
735	8178.650272
736	8171.543183
737	8163.100365
738	8149.861483
739	8149.060009
740	8140.029922
741	8131.882616
742	8129.249962
743	8126.898216
744	8119.30521
745	8118.675934
746	8114.439757
747	8110.495382
748	8104.480663
749	8101.736074
750	8093.698236
751	8087.1843
752	8083.607397
753	8075.540458
754	8067.630082
755	8056.673705
756	8048.157595
757	8033.266536
758	8026.886707
759	8019.962192
760	8011.578726
761	8008.409838
762	7996.741792
763	7989.234125
764	7979.719662
765	7973.358642
766	7968.518155
767	7965.581543
768	7957.68519
769	7943.909486
770	7940.369978
771	7932.415229
772	7923.809318
773	7913.48535
774	7902.04172
775	7897.157705
776	7888.552545
777	7888.008112
778	7879.18394
779	7872.810681
780	7870.982481
781	7868.667295
782	7862.358891
783	7854.873826
784	7848.798677
785	7847.334569
786	7841.596849
787	7834.368408
788	7831.862894
789	7824.312897
790	7812.137321
791	7805.553341
792	7798.663994
793	7797.690719
794	7789.767269
795	7782.648931
796	7781.051285
797	7774.47001
798	7773.47518
799	7771.863443
800	7767.071444
801	7766.369105
802	7763.366397
803	7754.432663
804	7747.761306
805	7740.186933
806	7734.819536
807	7726.332387
808	7719.813452
809	7719.281512
810	7713.035672
811	7705.342542
812	7695.258835
813	7685.645238
814	7680.704187
815	7679.988107
816	7674.178155
817	7667.66257
818	7659.084127
819	7650.331563
820	7642.300217
821	7641.850041
822	7633.442525
823	7621.090745
824	7614.816978
825	7614.352338
826	7608.092574
827	7607.606364
828	7603.330998
829	7596.352968
830	7589.385152
831	7577.830958
832	7565.473189
833	7565.027011
834	7559.072576
835	7556.510553
836	7545.383881
837	7540.199287
838	7531.1244
839	7521.368776
840	7510.923042
841	7502.826951
842	7495.2374
843	7484.516397
844	7474.542019
845	7464.596056
846	7455.651557
847	7449.276175
848	7444.482375
849	7430.623408
850	7429.054812
851	7415.495093
852	7411.513949
853	7402.249768
854	7399.724206
855	7392.844537
856	7387.502589
857	7385.717366
858	7375.970547
859	7366.958431
860	7366.282029
861	7357.48162
862	7351.754363
863	7345.032319
864	7341.571181
865	7335.142914
866	7325.743625
867	7317.436685
868	7311.394307
869	7305.050183
870	7294.447799
871	7282.088833
872	7278.157536
873	7270.473594
874	7262.164701
875	7257.696457
876	7257.295728
877	7249.476848
878	7243.415159
879	7242.988029
880	7235.457468
881	7230.2868
882	7223.663915
883	7223.207342
884	7216.366154
885	7208.412221
886	7207.766877
887	7200.71509
888	7197.033446
889	7189.456404
890	7180.439601
891	7171.729425
892	7162.060349
893	7161.67858
894	7154.639526
895	7150.270509
896	7143.974016
897	7135.74307
898	7130.561958
899	7130.059006
900	7125.60252
901	7118.629218
902	7112.729822
903	7106.334565
904	7101.129195
905	7091.658373
906	7087.605356
907	7077.998227
908	7071.481925
909	7065.702821
910	7065.305268
911	7060.592117
912	7056.397165
913	7053.982371
914	7047.157981
915	7038.956496
916	7029.605207
917	7026.691933
918	7020.432484
919	7016.989839
920	7009.612666
921	7002.495801
922	7002.096025
923	6995.221148
924	6986.390809
925	6981.078156
926	6975.737353
927	6969.060768
928	6968.513128
929	6962.230735
930	6959.47113
931	6955.871464
932	6951.133999
933	6946.392635
934	6938.580968
935	6932.557125
936	6927.486643
937	6922.09276
938	6917.264881
939	6916.45673
940	6912.681302
941	6904.530151
942	6898.255657
943	6890.41212
944	6884.639236
945	6876.271735
946	6867.208131
947	6861.889605
948	6855.111446
949	6848.234171
950	6843.298966
951	6836.6021
952	6827.184421
953	6816.848318
954	6812.841227
955	6804.956609
956	6799.970549
957	6799.624147
958	6795.164554
959	6788.069184
960	6782.774716
961	6779.153645
962	6773.353177
963	6764.567739
964	6755.241379
965	6748.708896
966	6748.35272
967	6739.97555
968	6732.212265
969	6731.858168
970	6727.205145
971	6726.873596
972	6724.748846
973	6722.392706
974	6717.940727
975	6717.55415
976	6710.230469
977	6704.852318
978	6704.535956
979	6700.268308
980	6693.290874
981	6685.895073
982	6680.028736
983	6677.394764
984	6674.795705
985	6674.05836
986	6670.265236
987	6669.891575
988	6668.109322
989	6661.934044
990	6660.692064
991	6660.356076
992	6653.76861
993	6648.251974
994	6643.65903
995	6638.093704
996	6631.549998
997	6625.707908
998	6621.275576
999	6616.372126
