iter	Passed	Remaining
0	2	2350
1	4	2262
2	6	2157
3	8	2052
4	10	2025
5	12	2026
6	14	2011
7	16	1991
8	18	1986
9	20	1980
10	22	1997
11	24	1979
12	25	1964
13	27	1965
14	30	1972
15	32	1992
16	34	1978
17	36	1973
18	38	1975
19	40	1962
20	41	1956
21	43	1949
22	45	1946
23	47	1950
24	49	1942
25	51	1934
26	53	1928
27	55	1924
28	57	1920
29	59	1917
30	61	1914
31	63	1910
32	65	1905
33	67	1905
34	69	1906
35	70	1898
36	72	1895
37	74	1893
38	76	1895
39	78	1888
40	80	1884
41	82	1879
42	84	1884
43	86	1881
44	88	1880
45	90	1872
46	92	1871
47	94	1864
48	95	1859
49	97	1854
50	99	1851
51	101	1849
52	103	1844
53	105	1840
54	106	1836
55	108	1830
56	110	1828
57	112	1823
58	114	1819
59	115	1814
60	117	1811
61	119	1808
62	121	1802
63	122	1798
64	124	1791
65	126	1788
66	128	1784
67	130	1783
68	131	1779
69	133	1777
70	135	1777
71	138	1779
72	140	1779
73	142	1779
74	144	1777
75	145	1773
76	147	1771
77	149	1769
78	151	1768
79	153	1765
80	155	1762
81	157	1758
82	159	1759
83	161	1757
84	163	1758
85	165	1757
86	167	1758
87	169	1755
88	171	1754
89	173	1755
90	175	1753
91	178	1758
92	180	1755
93	182	1755
94	184	1754
95	186	1752
96	187	1749
97	189	1747
98	191	1744
99	194	1747
100	196	1745
101	197	1742
102	199	1740
103	202	1743
104	204	1740
105	206	1738
106	208	1741
107	210	1740
108	212	1739
109	214	1736
110	216	1736
111	218	1734
112	220	1732
113	222	1731
114	224	1730
115	226	1729
116	228	1727
117	230	1725
118	232	1724
119	234	1720
120	236	1718
121	238	1716
122	240	1714
123	242	1711
124	244	1711
125	246	1710
126	248	1707
127	250	1704
128	252	1702
129	253	1698
130	255	1696
131	257	1693
132	259	1690
133	260	1686
134	262	1684
135	264	1682
136	266	1680
137	268	1678
138	270	1676
139	272	1673
140	275	1679
141	277	1676
142	280	1679
143	281	1675
144	283	1672
145	285	1669
146	287	1669
147	289	1666
148	291	1663
149	292	1659
150	294	1656
151	296	1653
152	298	1651
153	300	1648
154	301	1645
155	303	1643
156	305	1640
157	307	1638
158	309	1636
159	311	1633
160	312	1630
161	314	1627
162	316	1624
163	318	1621
164	319	1618
165	321	1615
166	323	1613
167	325	1611
168	327	1608
169	328	1605
170	330	1603
171	332	1600
172	334	1597
173	336	1595
174	338	1594
175	339	1591
176	341	1589
177	343	1587
178	345	1584
179	347	1581
180	348	1579
181	350	1576
182	352	1574
183	354	1572
184	356	1569
185	358	1567
186	359	1564
187	361	1563
188	363	1560
189	365	1557
190	367	1555
191	369	1552
192	370	1550
193	372	1548
194	374	1546
195	376	1543
196	378	1541
197	379	1539
198	381	1536
199	383	1534
200	386	1535
201	388	1533
202	389	1530
203	391	1528
204	393	1526
205	395	1524
206	397	1521
207	398	1519
208	400	1517
209	402	1514
210	404	1512
211	406	1510
212	408	1508
213	409	1505
214	411	1503
215	413	1501
216	415	1499
217	417	1497
218	419	1495
219	420	1492
220	422	1490
221	424	1487
222	426	1485
223	428	1486
224	431	1486
225	433	1484
226	435	1481
227	437	1480
228	439	1478
229	440	1476
230	442	1473
231	444	1471
232	446	1469
233	448	1466
234	449	1464
235	451	1462
236	453	1460
237	455	1457
238	457	1455
239	458	1453
240	460	1451
241	462	1448
242	464	1446
243	466	1444
244	468	1444
245	470	1441
246	472	1439
247	473	1437
248	475	1435
249	477	1433
250	479	1431
251	481	1429
252	483	1427
253	485	1425
254	486	1422
255	488	1420
256	490	1418
257	492	1416
258	494	1414
259	496	1412
260	499	1413
261	501	1411
262	503	1409
263	504	1407
264	506	1405
265	508	1403
266	510	1401
267	512	1399
268	514	1398
269	517	1400
270	519	1397
271	521	1395
272	523	1393
273	525	1391
274	527	1389
275	528	1387
276	530	1385
277	532	1382
278	534	1380
279	536	1379
280	539	1379
281	541	1377
282	542	1375
283	544	1373
284	546	1370
285	548	1368
286	550	1366
287	551	1364
288	554	1363
289	556	1361
290	557	1359
291	559	1356
292	561	1354
293	563	1353
294	565	1351
295	567	1349
296	569	1347
297	571	1346
298	573	1344
299	575	1342
300	577	1340
301	579	1338
302	580	1336
303	582	1334
304	585	1333
305	587	1332
306	589	1331
307	591	1329
308	593	1327
309	595	1325
310	597	1323
311	599	1322
312	601	1320
313	603	1318
314	605	1316
315	607	1314
316	609	1312
317	610	1309
318	612	1307
319	614	1306
320	616	1304
321	618	1302
322	620	1299
323	622	1297
324	623	1295
325	625	1293
326	627	1291
327	629	1289
328	630	1286
329	632	1284
330	634	1282
331	636	1280
332	638	1278
333	640	1276
334	641	1274
335	643	1271
336	645	1269
337	647	1267
338	649	1265
339	650	1263
340	652	1261
341	654	1259
342	657	1258
343	658	1256
344	660	1254
345	662	1252
346	664	1250
347	666	1248
348	668	1246
349	669	1244
350	671	1242
351	673	1239
352	675	1238
353	677	1236
354	679	1234
355	681	1232
356	683	1231
357	685	1229
358	687	1227
359	689	1225
360	691	1223
361	692	1221
362	694	1219
363	696	1217
364	698	1214
365	700	1212
366	702	1210
367	703	1208
368	705	1206
369	707	1204
370	709	1203
371	711	1201
372	713	1199
373	715	1197
374	717	1195
375	719	1193
376	721	1191
377	722	1189
378	724	1187
379	726	1185
380	728	1183
381	730	1181
382	733	1181
383	735	1179
384	736	1177
385	738	1175
386	740	1173
387	742	1171
388	744	1169
389	746	1166
390	747	1164
391	749	1162
392	751	1160
393	752	1158
394	754	1156
395	756	1154
396	759	1153
397	761	1151
398	763	1149
399	765	1147
400	766	1145
401	768	1143
402	770	1141
403	772	1139
404	774	1137
405	775	1135
406	777	1133
407	779	1130
408	781	1128
409	783	1126
410	784	1124
411	786	1122
412	788	1120
413	790	1118
414	792	1116
415	794	1115
416	796	1112
417	797	1111
418	799	1109
419	801	1107
420	803	1105
421	805	1103
422	807	1101
423	809	1099
424	811	1097
425	812	1095
426	814	1093
427	816	1091
428	818	1089
429	820	1087
430	822	1085
431	824	1083
432	826	1081
433	828	1079
434	829	1077
435	831	1076
436	833	1073
437	835	1072
438	837	1070
439	839	1068
440	841	1066
441	843	1064
442	844	1062
443	846	1060
444	848	1058
445	850	1056
446	852	1054
447	854	1052
448	856	1050
449	857	1048
450	859	1046
451	861	1044
452	863	1042
453	865	1040
454	867	1038
455	868	1036
456	870	1034
457	872	1032
458	874	1030
459	876	1028
460	877	1026
461	879	1024
462	881	1022
463	883	1020
464	884	1018
465	886	1016
466	888	1014
467	890	1011
468	892	1009
469	893	1007
470	895	1005
471	897	1003
472	898	1001
473	900	999
474	902	997
475	903	995
476	905	993
477	907	991
478	909	988
479	911	986
480	912	985
481	914	982
482	916	980
483	918	978
484	919	976
485	921	974
486	923	972
487	925	970
488	926	968
489	928	966
490	930	964
491	932	962
492	934	960
493	936	958
494	937	956
495	939	954
496	941	952
497	943	950
498	944	948
499	946	946
500	948	944
501	950	942
502	952	940
503	953	938
504	955	936
505	957	934
506	959	932
507	961	930
508	963	929
509	964	926
510	966	924
511	968	922
512	970	920
513	972	919
514	973	917
515	975	915
516	977	913
517	979	911
518	981	909
519	983	907
520	984	905
521	986	903
522	988	901
523	990	899
524	992	898
525	994	896
526	996	894
527	998	892
528	1000	890
529	1001	888
530	1003	886
531	1005	884
532	1007	882
533	1009	880
534	1011	879
535	1013	877
536	1015	875
537	1016	873
538	1019	871
539	1020	869
540	1022	867
541	1024	865
542	1026	863
543	1028	861
544	1030	859
545	1031	858
546	1033	856
547	1035	854
548	1037	852
549	1039	850
550	1040	848
551	1042	846
552	1044	844
553	1046	842
554	1048	840
555	1050	838
556	1051	836
557	1053	834
558	1055	832
559	1057	830
560	1059	829
561	1061	827
562	1063	825
563	1064	823
564	1066	821
565	1068	819
566	1070	817
567	1072	815
568	1074	813
569	1075	811
570	1077	809
571	1079	807
572	1080	805
573	1083	803
574	1084	801
575	1086	799
576	1088	798
577	1090	796
578	1092	794
579	1093	792
580	1095	790
581	1097	788
582	1098	785
583	1100	784
584	1102	781
585	1103	779
586	1105	777
587	1107	775
588	1108	773
589	1110	771
590	1112	769
591	1114	767
592	1116	766
593	1118	764
594	1119	762
595	1121	760
596	1123	758
597	1125	756
598	1127	754
599	1129	752
600	1131	750
601	1133	749
602	1134	747
603	1136	745
604	1138	743
605	1141	741
606	1142	739
607	1144	737
608	1146	735
609	1148	734
610	1150	732
611	1152	730
612	1155	729
613	1156	727
614	1159	725
615	1160	723
616	1162	721
617	1164	719
618	1166	717
619	1168	716
620	1170	714
621	1172	712
622	1173	710
623	1175	708
624	1177	706
625	1179	704
626	1181	702
627	1182	700
628	1184	698
629	1186	696
630	1188	694
631	1190	692
632	1192	691
633	1193	689
634	1195	687
635	1197	685
636	1199	683
637	1200	681
638	1202	679
639	1204	677
640	1206	675
641	1207	673
642	1209	671
643	1211	669
644	1213	667
645	1214	665
646	1216	663
647	1218	661
648	1219	659
649	1221	657
650	1223	655
651	1224	653
652	1226	651
653	1228	650
654	1230	648
655	1232	646
656	1234	644
657	1235	642
658	1237	640
659	1239	638
660	1241	636
661	1243	634
662	1245	633
663	1247	631
664	1249	629
665	1251	627
666	1253	625
667	1254	623
668	1256	621
669	1258	619
670	1260	617
671	1261	615
672	1263	614
673	1265	612
674	1267	610
675	1269	608
676	1271	606
677	1273	604
678	1275	602
679	1276	600
680	1278	599
681	1280	597
682	1282	595
683	1284	593
684	1286	591
685	1288	589
686	1290	587
687	1292	585
688	1293	584
689	1295	582
690	1297	580
691	1299	578
692	1301	576
693	1302	574
694	1304	572
695	1306	570
696	1308	568
697	1310	566
698	1311	564
699	1313	563
700	1315	561
701	1317	559
702	1319	557
703	1320	555
704	1322	553
705	1325	551
706	1326	549
707	1328	548
708	1330	546
709	1332	544
710	1334	542
711	1336	540
712	1337	538
713	1339	536
714	1341	534
715	1343	532
716	1345	530
717	1346	529
718	1348	527
719	1350	525
720	1352	523
721	1354	521
722	1355	519
723	1357	517
724	1359	515
725	1361	513
726	1362	511
727	1364	509
728	1366	507
729	1368	506
730	1370	504
731	1372	502
732	1373	500
733	1375	498
734	1377	496
735	1379	494
736	1380	492
737	1382	490
738	1384	488
739	1386	487
740	1387	485
741	1389	483
742	1391	481
743	1393	479
744	1395	477
745	1396	475
746	1398	473
747	1400	471
748	1402	470
749	1404	468
750	1406	466
751	1408	464
752	1409	462
753	1411	460
754	1413	458
755	1415	456
756	1417	455
757	1419	453
758	1421	451
759	1423	449
760	1425	447
761	1426	445
762	1428	443
763	1430	441
764	1433	440
765	1434	438
766	1436	436
767	1439	434
768	1441	432
769	1443	431
770	1446	429
771	1447	427
772	1449	425
773	1451	423
774	1453	421
775	1455	420
776	1457	418
777	1458	416
778	1460	414
779	1462	412
780	1464	410
781	1466	408
782	1467	406
783	1469	404
784	1471	402
785	1473	401
786	1474	399
787	1476	397
788	1478	395
789	1480	393
790	1482	391
791	1483	389
792	1485	387
793	1487	385
794	1488	383
795	1490	382
796	1492	380
797	1494	378
798	1496	376
799	1497	374
800	1499	372
801	1501	370
802	1503	368
803	1505	366
804	1507	365
805	1509	363
806	1511	361
807	1513	359
808	1515	357
809	1516	355
810	1518	353
811	1520	352
812	1522	350
813	1524	348
814	1526	346
815	1528	344
816	1529	342
817	1531	340
818	1533	338
819	1535	337
820	1538	335
821	1539	333
822	1541	331
823	1543	329
824	1545	327
825	1547	325
826	1548	324
827	1550	322
828	1552	320
829	1554	318
